"npar","logLik","AIC","LRT","Df","Pr(>Chisq)","trait","term"
13,-269.22255079277,564.44510158554,NA,NA,NA,"height4","<none>"
12,-292.448542169553,608.897084339107,46.4519827535663,1,9.38913013095397e-12,"height4","(1 | rack)"
13,-740.660917929336,1507.32183585867,NA,NA,NA,"leaf4","<none>"
12,-759.26023356778,1542.52046713556,37.1986312768884,1,1.066886359245e-09,"leaf4","(1 | rack)"
13,-474.976801785845,975.95360357169,NA,NA,NA,"chloro4","<none>"
12,-478.442122462951,980.884244925903,6.93064135421264,1,0.0084731298770675,"chloro4","(1 | rack)"
13,-110.319810166864,246.639620333728,NA,NA,NA,"ratio","<none>"
12,-118.263473299929,260.526946599859,15.8873262661306,1,6.72273989288596e-05,"ratio","(1 | rack)"
13,-1066.73135202036,2159.46270404073,NA,NA,NA,"shoot_mass","<none>"
12,-1081.54627706168,2187.09255412336,29.6298500826297,1,5.22934074982678e-08,"shoot_mass","(1 | rack)"
13,-944.372633014839,1914.74526602968,NA,NA,NA,"root_mass","<none>"
12,-964.051003916558,1952.10200783312,39.3567418034386,1,3.5303185625319e-10,"root_mass","(1 | rack)"
13,-677.677666364205,1381.35533272841,NA,NA,NA,"total_nod","<none>"
12,-687.632613247751,1399.2652264955,19.9098937670926,1,8.11791259478749e-06,"total_nod","(1 | rack)"
